keyword,url,title,path
massachusetts bay transportation authority police association pension plan,http://mbtarf.com/wp-content/uploads/2016/05/Web2_CAFR_2016.pdf,2016 Comprehensive Annual Financial Report,full/25effbdb550d29e8b75aae36605df7d8ef58ad32.pdf
phenix city police and firemens pension system,https://www.columbusga.org/finance/Accounting_Docs/CAFR_FY16.pdf,FY16 CAFR,full/6cf294b83fb04a98fbf671a7feb834c04d4213ef.pdf
tallahassee general retirement fund,https://www.mariettaga.gov/AgendaCenter/ViewFile/Item/489?fileID=2160,"Shareholder Litigation Counsel, Securities Monitoring and Claims ...",full/0ad672156614cd26904dcb75ad2018f11f2d4666
tallahassee general retirement fund,http://collinsinstitute.fsu.edu/sites/default/files/Tough%20Choices%20Report%20Card%20Nov%202011.pdf,REPORT CARD: FLORIDA MUNICIPAL PENSION PLANS,full/f49605ed99ee53c3f3e03e2b1893328d4667135b.pdf
al employees retirement system,http://securities.stanford.edu/filings-documents/1042/GMSC09_01/2012731_r01s_09CV1110.pdf,"Public Employees' Retirement System Of Mississippi, et al. v ...",full/b5e7ab628314d78a6820d0683e72019816b41194.pdf
phenix city police and firemens pension system,http://www.cityofmorrow.com/media/FY2015.pdf,"CITY OF MORROW, GEORGIA",full/b04b570ae1d13396127a3ca00e4f74709b6e9832.pdf
city employees retirement system,https://www.okc.gov/home/showdocument?id=6324,Oklahoma City Employee Retirement System,full/8fc4762b8b967c7324d8ad0e080b453f98e5678e
davie general retirement fund,https://www.mybentek.com/davie/common/redirect.cfm?/davie/common/filedownload.cfm+Filename=Benefit-Book-2017.pdf&Path=/resources/2017-01-01/,Town of Davie 2017 Benefit Highlights,full/9e98828eefa3dc6078ee7fa36365a6d9cc33baf2
denver board of water commisioners retirement plan trust fund,https://www.derp.org/repository/files/pubs/CAFR2015.pdf,Denver Employees Retirement Plan,full/ded7906b2e35d7282bc6317b7ae52433a1b3ccb7.pdf
south st paul policemens relief association,http://collections.mnhs.org/mnhistorymagazine/articles/41/v41i04p153-170.pdf,Politics and relief in Minneapolis during the 1930s.,full/dca190f1bcaec0a6fa1d6a6132b3a4dbf5160a1c.pdf
city employees retirement system,https://www.lacers.org/aboutlacers/reports/Actuarial%20Valuations/2016%20Actuarial%20Valuation%20&%20Review.pdf,Los Angeles City Employees' Retirement System,full/f1f60cb4c9c8a78ac6fa91ec2625e5372745f52b.pdf
south st paul policemens relief association,https://ucf.digital.flvc.org/islandora/object/ucf%3A25503/datastream/OBJ/view,The Florida Historical Quarterly,full/4ab8e58b908c7046c20ad3763c458da429e2d0d9
cook county employee annuity benefit fund forest preserve district,https://www.imrf.org/cmsmedia/files/multi-site-files/benefit%20booklets/reciprocal%20act%20brochure.pdf?la=en,IMRF and the Reciprocal Act,full/72e31079655b4d545c2d4859b4f58d3b97633a9a.pdf?la=en
la salle firefighters pension fund,https://www.imrf.org/cmsmedia/files/multi-site-files/benefit%20booklets/reciprocal%20act%20brochure.pdf?la=en,IMRF and the Reciprocal Act,full/72e31079655b4d545c2d4859b4f58d3b97633a9a.pdf?la=en
